#DMDensity EnergyDensity Pressure SIGCHIN SIGCHI2 DMmass 
0 0 0 0 55 0.19734
0.001 4.82072e-25 8.00056e-21 0 55 0.19734
0.002 1.92829e-24 3.20022e-20 0 55 0.19734
0.003 4.33865e-24 7.20051e-20 0 55 0.19734
0.004 7.71315e-24 1.28009e-19 0 55 0.19734
0.005 1.20518e-23 2.00014e-19 0 55 0.19734
0.006 1.73546e-23 2.8802e-19 0 55 0.19734
0.007 2.36215e-23 3.92028e-19 0 55 0.19734
0.008 3.08526e-23 5.12036e-19 0 55 0.19734
0.009 3.90478e-23 6.48046e-19 0 55 0.19734
0.01 4.82072e-23 8.00056e-19 0 55 0.19734
0.011 5.83307e-23 9.68068e-19 0 55 0.19734
0.012 6.94183e-23 1.15208e-18 0 55 0.19734
0.013 8.14701e-23 1.3521e-18 0 55 0.19734
0.014 9.44861e-23 1.56811e-18 0 55 0.19734
0.015 1.08466e-22 1.80013e-18 0 55 0.19734
0.016 1.2341e-22 2.04814e-18 0 55 0.19734
0.017 1.39319e-22 2.31216e-18 0 55 0.19734
0.018 1.56191e-22 2.59218e-18 0 55 0.19734
0.019 1.74028e-22 2.8882e-18 0 55 0.19734
0.02 1.92829e-22 3.20022e-18 0 55 0.19734
0.021 2.12594e-22 3.52825e-18 0 55 0.19734
0.022 2.33323e-22 3.87227e-18 0 55 0.19734
0.023 2.55016e-22 4.2323e-18 0 55 0.19734
0.024 2.77673e-22 4.60832e-18 0 55 0.19734
0.025 3.01295e-22 5.00035e-18 0 55 0.19734
0.026 3.2588e-22 5.40838e-18 0 55 0.19734
0.027 3.5143e-22 5.83241e-18 0 55 0.19734
0.028 3.77944e-22 6.27244e-18 0 55 0.19734
0.029 4.05422e-22 6.72847e-18 0 55 0.19734
0.03 4.33865e-22 7.20051e-18 0 55 0.19734
0.031 4.63271e-22 7.68854e-18 0 55 0.19734
0.032 4.93641e-22 8.19258e-18 0 55 0.19734
0.033 5.24976e-22 8.71261e-18 0 55 0.19734
0.034 5.57275e-22 9.24865e-18 0 55 0.19734
0.035 5.90538e-22 9.80069e-18 0 55 0.19734
0.036 6.24765e-22 1.03687e-17 0 55 0.19734
0.037 6.59956e-22 1.09528e-17 0 55 0.19734
0.038 6.96112e-22 1.15528e-17 0 55 0.19734
0.039 7.33231e-22 1.21689e-17 0 55 0.19734
0.04 7.71315e-22 1.28009e-17 0 55 0.19734
0.041 8.10363e-22 1.34489e-17 0 55 0.19734
0.042 8.50375e-22 1.4113e-17 0 55 0.19734
0.043 8.91351e-22 1.4793e-17 0 55 0.19734
0.044 9.33291e-22 1.54891e-17 0 55 0.19734
0.045 9.76195e-22 1.62011e-17 0 55 0.19734
0.046 1.02006e-21 1.69292e-17 0 55 0.19734
0.047 1.0649e-21 1.76732e-17 0 55 0.19734
0.048 1.11069e-21 1.84333e-17 0 55 0.19734
0.049 1.15745e-21 1.92094e-17 0 55 0.19734
0.05 1.20518e-21 2.00014e-17 0 55 0.19734
0.051 1.25387e-21 2.08095e-17 0 55 0.19734
0.052 1.30352e-21 2.16335e-17 0 55 0.19734
0.053 1.35414e-21 2.24736e-17 0 55 0.19734
0.054 1.40572e-21 2.33296e-17 0 55 0.19734
0.055 1.45827e-21 2.42017e-17 0 55 0.19734
0.056 1.51178e-21 2.50898e-17 0 55 0.19734
0.057 1.56625e-21 2.59938e-17 0 55 0.19734
0.058 1.62169e-21 2.69139e-17 0 55 0.19734
0.059 1.67809e-21 2.785e-17 0 55 0.19734
0.06 1.73546e-21 2.8802e-17 0 55 0.19734
0.061 1.79379e-21 2.97701e-17 0 55 0.19734
0.062 1.85308e-21 3.07542e-17 0 55 0.19734
0.063 1.91334e-21 3.17542e-17 0 55 0.19734
0.064 1.97457e-21 3.27703e-17 0 55 0.19734
0.065 2.03675e-21 3.38024e-17 0 55 0.19734
0.066 2.0999e-21 3.48505e-17 0 55 0.19734
0.067 2.16402e-21 3.59145e-17 0 55 0.19734
0.068 2.2291e-21 3.69946e-17 0 55 0.19734
0.069 2.29514e-21 3.80907e-17 0 55 0.19734
0.07 2.36215e-21 3.92028e-17 0 55 0.19734
0.071 2.43012e-21 4.03308e-17 0 55 0.19734
0.072 2.49906e-21 4.14749e-17 0 55 0.19734
0.073 2.56896e-21 4.2635e-17 0 55 0.19734
0.074 2.63982e-21 4.38111e-17 0 55 0.19734
0.075 2.71165e-21 4.50032e-17 0 55 0.19734
0.076 2.78445e-21 4.62112e-17 0 55 0.19734
0.077 2.8582e-21 4.74353e-17 0 55 0.19734
0.078 2.93292e-21 4.86754e-17 0 55 0.19734
0.079 3.00861e-21 4.99315e-17 0 55 0.19734
0.08 3.08526e-21 5.12036e-17 0 55 0.19734
0.081 3.16287e-21 5.24917e-17 0 55 0.19734
0.082 3.24145e-21 5.37958e-17 0 55 0.19734
0.083 3.32099e-21 5.51159e-17 0 55 0.19734
0.084 3.4015e-21 5.6452e-17 0 55 0.19734
0.085 3.48297e-21 5.78041e-17 0 55 0.19734
0.086 3.5654e-21 5.91722e-17 0 55 0.19734
0.087 3.6488e-21 6.05563e-17 0 55 0.19734
0.088 3.73316e-21 6.19564e-17 0 55 0.19734
0.089 3.81849e-21 6.33725e-17 0 55 0.19734
0.09 3.90478e-21 6.48046e-17 0 55 0.19734
0.091 3.99204e-21 6.62527e-17 0 55 0.19734
0.092 4.08026e-21 6.77168e-17 0 55 0.19734
0.093 4.16944e-21 6.91969e-17 0 55 0.19734
0.094 4.25959e-21 7.0693e-17 0 55 0.19734
0.095 4.3507e-21 7.22051e-17 0 55 0.19734
0.096 4.44277e-21 7.37332e-17 0 55 0.19734
0.097 4.53581e-21 7.52773e-17 0 55 0.19734
0.098 4.62982e-21 7.68374e-17 0 55 0.19734
0.099 4.72479e-21 7.84135e-17 0 55 0.19734
0.1 4.82072e-21 8.00056e-17 0 55 0.19734
0.101 4.91761e-21 8.16137e-17 0 55 0.19734
0.102 5.01547e-21 8.32379e-17 0 55 0.19734
0.103 5.1143e-21 8.4878e-17 0 55 0.19734
0.104 5.21409e-21 8.65341e-17 0 55 0.19734
0.105 5.31484e-21 8.82062e-17 0 55 0.19734
0.106 5.41656e-21 8.98943e-17 0 55 0.19734
0.107 5.51924e-21 9.15984e-17 0 55 0.19734
0.108 5.62288e-21 9.33186e-17 0 55 0.19734
0.109 5.72749e-21 9.50547e-17 0 55 0.19734
0.11 5.83307e-21 9.68068e-17 0 55 0.19734
0.111 5.93961e-21 9.85749e-17 0 55 0.19734
0.112 6.04711e-21 1.00359e-16 0 55 0.19734
0.113 6.15557e-21 1.02159e-16 0 55 0.19734
0.114 6.265e-21 1.03975e-16 0 55 0.19734
0.115 6.3754e-21 1.05807e-16 0 55 0.19734
0.116 6.48676e-21 1.07656e-16 0 55 0.19734
0.117 6.59908e-21 1.0952e-16 0 55 0.19734
0.118 6.71237e-21 1.114e-16 0 55 0.19734
0.119 6.82662e-21 1.13296e-16 0 55 0.19734
0.12 6.94183e-21 1.15208e-16 0 55 0.19734
0.121 7.05801e-21 1.17136e-16 0 55 0.19734
0.122 7.17516e-21 1.1908e-16 0 55 0.19734
0.123 7.29326e-21 1.21041e-16 0 55 0.19734
0.124 7.41233e-21 1.23017e-16 0 55 0.19734
0.125 7.53237e-21 1.25009e-16 0 55 0.19734
0.126 7.65337e-21 1.27017e-16 0 55 0.19734
0.127 7.77533e-21 1.29041e-16 0 55 0.19734
0.128 7.89826e-21 1.31081e-16 0 55 0.19734
0.129 8.02216e-21 1.33137e-16 0 55 0.19734
0.13 8.14701e-21 1.3521e-16 0 55 0.19734
0.131 8.27283e-21 1.37298e-16 0 55 0.19734
0.132 8.39962e-21 1.39402e-16 0 55 0.19734
0.133 8.52737e-21 1.41522e-16 0 55 0.19734
0.134 8.65608e-21 1.43658e-16 0 55 0.19734
0.135 8.78576e-21 1.4581e-16 0 55 0.19734
0.136 8.9164e-21 1.47978e-16 0 55 0.19734
0.137 9.048e-21 1.50163e-16 0 55 0.19734
0.138 9.18057e-21 1.52363e-16 0 55 0.19734
0.139 9.31411e-21 1.54579e-16 0 55 0.19734
0.14 9.44861e-21 1.56811e-16 0 55 0.19734
0.141 9.58407e-21 1.59059e-16 0 55 0.19734
0.142 9.72049e-21 1.61323e-16 0 55 0.19734
0.143 9.85788e-21 1.63604e-16 0 55 0.19734
0.144 9.99624e-21 1.659e-16 0 55 0.19734
0.145 1.01356e-20 1.68212e-16 0 55 0.19734
0.146 1.02758e-20 1.7054e-16 0 55 0.19734
0.147 1.04171e-20 1.72884e-16 0 55 0.19734
0.148 1.05593e-20 1.75244e-16 0 55 0.19734
0.149 1.07025e-20 1.7762e-16 0 55 0.19734
0.15 1.08466e-20 1.80013e-16 0 55 0.19734
0.151 1.09917e-20 1.82421e-16 0 55 0.19734
0.152 1.11378e-20 1.84845e-16 0 55 0.19734
0.153 1.12848e-20 1.87285e-16 0 55 0.19734
0.154 1.14328e-20 1.89741e-16 0 55 0.19734
0.155 1.15818e-20 1.92214e-16 0 55 0.19734
0.156 1.17317e-20 1.94702e-16 0 55 0.19734
0.157 1.18826e-20 1.97206e-16 0 55 0.19734
0.158 1.20344e-20 1.99726e-16 0 55 0.19734
0.159 1.21873e-20 2.02262e-16 0 55 0.19734
0.16 1.2341e-20 2.04814e-16 0 55 0.19734
0.161 1.24958e-20 2.07383e-16 0 55 0.19734
0.162 1.26515e-20 2.09967e-16 0 55 0.19734
0.163 1.28082e-20 2.12567e-16 0 55 0.19734
0.164 1.29658e-20 2.15183e-16 0 55 0.19734
0.165 1.31244e-20 2.17815e-16 0 55 0.19734
0.166 1.3284e-20 2.20463e-16 0 55 0.19734
0.167 1.34445e-20 2.23128e-16 0 55 0.19734
0.168 1.3606e-20 2.25808e-16 0 55 0.19734
0.169 1.37685e-20 2.28504e-16 0 55 0.19734
0.17 1.39319e-20 2.31216e-16 0 55 0.19734
0.171 1.40963e-20 2.33944e-16 0 55 0.19734
0.172 1.42616e-20 2.36689e-16 0 55 0.19734
0.173 1.44279e-20 2.39449e-16 0 55 0.19734
0.174 1.45952e-20 2.42225e-16 0 55 0.19734
0.175 1.47634e-20 2.45017e-16 0 55 0.19734
0.176 1.49327e-20 2.47825e-16 0 55 0.19734
0.177 1.51028e-20 2.5065e-16 0 55 0.19734
0.178 1.5274e-20 2.5349e-16 0 55 0.19734
0.179 1.54461e-20 2.56346e-16 0 55 0.19734
0.18 1.56191e-20 2.59218e-16 0 55 0.19734
0.181 1.57932e-20 2.62106e-16 0 55 0.19734
0.182 1.59681e-20 2.65011e-16 0 55 0.19734
0.183 1.61441e-20 2.67931e-16 0 55 0.19734
0.184 1.6321e-20 2.70867e-16 0 55 0.19734
0.185 1.64989e-20 2.73819e-16 0 55 0.19734
0.186 1.66778e-20 2.76787e-16 0 55 0.19734
0.187 1.68576e-20 2.79772e-16 0 55 0.19734
0.188 1.70383e-20 2.82772e-16 0 55 0.19734
0.189 1.72201e-20 2.85788e-16 0 55 0.19734
0.19 1.74028e-20 2.8882e-16 0 55 0.19734
0.191 1.75865e-20 2.91869e-16 0 55 0.19734
0.192 1.77711e-20 2.94933e-16 0 55 0.19734
0.193 1.79567e-20 2.98013e-16 0 55 0.19734
0.194 1.81433e-20 3.01109e-16 0 55 0.19734
0.195 1.83308e-20 3.04221e-16 0 55 0.19734
0.196 1.85193e-20 3.0735e-16 0 55 0.19734
0.197 1.87087e-20 3.10494e-16 0 55 0.19734
0.198 1.88991e-20 3.13654e-16 0 55 0.19734
0.199 1.90905e-20 3.1683e-16 0 55 0.19734
0.2 1.92829e-20 3.20022e-16 0 55 0.19734
0.201 1.94762e-20 3.23231e-16 0 55 0.19734
0.202 1.96705e-20 3.26455e-16 0 55 0.19734
0.203 1.98657e-20 3.29695e-16 0 55 0.19734
0.204 2.00619e-20 3.32951e-16 0 55 0.19734
0.205 2.02591e-20 3.36224e-16 0 55 0.19734
0.206 2.04572e-20 3.39512e-16 0 55 0.19734
0.207 2.06563e-20 3.42816e-16 0 55 0.19734
0.208 2.08564e-20 3.46136e-16 0 55 0.19734
0.209 2.10574e-20 3.49473e-16 0 55 0.19734
0.21 2.12594e-20 3.52825e-16 0 55 0.19734
0.211 2.14623e-20 3.56193e-16 0 55 0.19734
0.212 2.16662e-20 3.59577e-16 0 55 0.19734
0.213 2.18711e-20 3.62978e-16 0 55 0.19734
0.214 2.2077e-20 3.66394e-16 0 55 0.19734
0.215 2.22838e-20 3.69826e-16 0 55 0.19734
0.216 2.24915e-20 3.73274e-16 0 55 0.19734
0.217 2.27003e-20 3.76738e-16 0 55 0.19734
0.218 2.291e-20 3.80219e-16 0 55 0.19734
0.219 2.31206e-20 3.83715e-16 0 55 0.19734
0.22 2.33323e-20 3.87227e-16 0 55 0.19734
0.221 2.35449e-20 3.90755e-16 0 55 0.19734
0.222 2.37584e-20 3.943e-16 0 55 0.19734
0.223 2.39729e-20 3.9786e-16 0 55 0.19734
0.224 2.41884e-20 4.01436e-16 0 55 0.19734
